prev_chapter,curr_chapter,location_continuity,location_category_continuity,character_continuity,emotion_continuity,coherence_score
1,2,0.0,0.0,0.0,1.0,0.1
2,3,0.0,0.0,1.0,1.0,0.4
3,4,0.0,0.0,1.0,1.0,0.4
4,5,0.0,0.0,1.0,1.0,0.4
5,6,0.0,0.0,1.0,1.0,0.4
6,7,0.0,0.0,1.0,0.0,0.3
7,8,0.0,0.0,1.0,0.0,0.3
8,9,0.0,0.0,1.0,1.0,0.4
9,10,1.0,1.0,1.0,1.0,1.0000000000000002
10,11,1.0,1.0,1.0,0.0,0.9000000000000001
11,12,0.0,1.0,1.0,0.0,0.5
12,13,1.0,1.0,1.0,1.0,1.0000000000000002
13,14,0.0,1.0,1.0,1.0,0.6
14,15,0.0,0.0,1.0,1.0,0.4
15,16,0.0,1.0,1.0,1.0,0.6
16,17,0.0,0.0,1.0,0.0,0.3
