prev_chapter,curr_chapter,location_continuity,location_category_continuity,character_continuity,emotion_continuity,coherence_score
1,2,0.0,0.0,1.0,1.0,0.4
2,3,1.0,1.0,1.0,1.0,1.0000000000000002
3,4,1.0,1.0,0.0,0.0,0.6000000000000001
4,5,1.0,1.0,0.0,0.0,0.6000000000000001
5,6,0.0,0.0,1.0,0.0,0.3
6,7,0.0,0.0,1.0,1.0,0.4
7,8,0.0,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,1.0,0.1
9,10,1.0,1.0,0.0,0.0,0.6000000000000001
10,11,0.0,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,1.0,0.1
12,13,0.0,0.0,1.0,1.0,0.4
13,14,0.0,0.0,1.0,1.0,0.4
14,15,0.0,0.0,0.0,1.0,0.1
15,16,1.0,1.0,0.0,0.0,0.6000000000000001
16,17,0.0,0.0,0.0,1.0,0.1
