prev_chapter,curr_chapter,location_continuity,location_category_continuity,character_continuity,emotion_continuity,coherence_score
1,2,0.0,1.0,0.0,1.0,0.30000000000000004
2,3,0.0,1.0,0.0,1.0,0.30000000000000004
3,4,0.0,1.0,0.0,1.0,0.30000000000000004
4,5,0.0,0.0,0.0,1.0,0.1
5,6,0.0,0.0,1.0,1.0,0.4
6,7,0.0,0.0,1.0,1.0,0.4
7,8,0.0,0.0,0.0,1.0,0.1
8,9,0.0,1.0,0.0,1.0,0.30000000000000004
9,10,0.0,1.0,0.0,1.0,0.30000000000000004
10,11,1.0,1.0,0.0,1.0,0.7000000000000001
11,12,1.0,1.0,1.0,1.0,1.0000000000000002
12,13,1.0,1.0,1.0,1.0,1.0000000000000002
13,14,0.0,1.0,1.0,1.0,0.6
14,15,0.0,1.0,0.0,1.0,0.30000000000000004
15,16,1.0,1.0,0.0,1.0,0.7000000000000001
16,17,1.0,1.0,1.0,1.0,1.0000000000000002
17,19,0.0,1.0,0.0,1.0,0.30000000000000004
19,20,0.0,1.0,0.0,1.0,0.30000000000000004
20,21,0.0,1.0,0.0,1.0,0.30000000000000004
21,22,0.0,0.0,0.0,1.0,0.1
22,23,1.0,1.0,1.0,1.0,1.0000000000000002
23,24,0.0,0.0,0.0,1.0,0.1
24,25,0.0,0.0,0.0,1.0,0.1
25,26,0.0,0.0,0.0,1.0,0.1
26,27,0.0,0.0,0.0,1.0,0.1
27,28,0.0,0.0,0.0,1.0,0.1
28,29,0.0,1.0,0.0,1.0,0.30000000000000004
29,30,0.0,1.0,1.0,1.0,0.6
30,31,0.0,1.0,0.0,1.0,0.30000000000000004
31,32,1.0,1.0,1.0,1.0,1.0000000000000002
32,33,0.0,1.0,1.0,1.0,0.6
33,34,0.0,1.0,1.0,1.0,0.6
34,35,0.0,1.0,0.0,1.0,0.30000000000000004
35,36,0.0,1.0,0.0,1.0,0.30000000000000004
36,37,0.0,1.0,0.0,1.0,0.30000000000000004
37,38,1.0,1.0,0.0,1.0,0.7000000000000001
38,39,0.0,1.0,1.0,1.0,0.6
39,40,0.0,1.0,0.0,1.0,0.30000000000000004
40,41,0.0,1.0,0.0,1.0,0.30000000000000004
41,42,0.0,1.0,0.0,1.0,0.30000000000000004
42,43,1.0,1.0,0.0,1.0,0.7000000000000001
43,44,0.0,1.0,0.0,1.0,0.30000000000000004
44,45,1.0,1.0,0.0,1.0,0.7000000000000001
45,46,0.0,1.0,1.0,1.0,0.6
46,47,0.0,1.0,0.0,1.0,0.30000000000000004
47,48,0.0,1.0,0.0,1.0,0.30000000000000004
48,49,0.0,1.0,0.0,1.0,0.30000000000000004
49,50,0.0,1.0,0.0,1.0,0.30000000000000004
50,51,0.0,0.0,0.0,1.0,0.1
51,52,0.0,0.0,0.0,1.0,0.1
52,53,0.0,1.0,0.0,1.0,0.30000000000000004
53,101,0.0,1.0,0.0,1.0,0.30000000000000004
